id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
1,0.23463404498842955,arp,ssh,INT,97,18,1242,1858,725.5275853709869,254,0,595107.378159682,834450.5400447329,9,9,85.16567352344215,8.353728090385793,29.775492043555673,143.90709202789031,0,47926717,77552882,0,0.513142772966465,0.018493725734028965,0.19787347011017842,564,1241,2,1426,2,3,13,5,13,8,1,0,3,12,14,1,DoS,1
2,1.5050607154587605,arp,smtp,REQ,75,68,2470,2703,79.94603726117886,62,29,327672.89637330634,270069.6840143848,0,2,17.333530792866046,61.58069879694747,240.93059713350578,282.86631160871434,255,76847548,48739165,255,0.2502279061241113,0.2279618877137672,0.057904545053033496,1294,784,0,4842,3,2,1,9,13,14,1,0,2,8,3,0,DoS,1
3,0.6583728467727247,ospf,http,CON,98,90,2871,1971,766.2110646850583,62,0,496233.996921005,31493.05347604614,9,9,92.86054407369029,47.42714989277979,31.377165235265903,426.6037610801237,255,23936870,66149809,255,0.17089099613432934,0.48211088276528935,0.48618289089142674,468,1206,3,2597,10,2,1,19,5,2,1,1,1,10,14,1,Reconnaissance,1
4,0.4564712768879766,arp,http,INT,80,62,2828,1113,310.8558258832011,31,29,198831.1864306065,780733.4832028542,1,3,6.124836760691754,92.90049453730386,173.0161216058521,467.2172473109469,0,49414603,18869283,0,0.7616744862682062,0.27271430418153414,0.2170086180704472,846,970,4,4077,2,1,4,2,12,15,1,1,3,13,6,1,Normal,0
5,0.08481243523117314,icmp,ssh,RST,54,76,2788,983,805.251753622157,255,0,574274.1202254854,868917.5700889627,6,8,28.798154939381646,74.05530031734158,78.6863027655666,37.517781450122136,255,84009897,93886020,255,0.06783702003593917,0.18872264566511815,0.06985352422822833,893,887,1,1507,12,4,16,2,8,3,0,2,0,2,8,1,Normal,0
6,0.08479814595730259,arp,ftp,RST,35,31,2599,2127,509.2016230488766,62,29,407816.8082796595,492306.2374005278,7,0,56.29454976697604,77.78873625609609,109.68623269594596,393.45425082817906,0,24566050,92312834,0,0.9568669841905139,0.27600203830643205,0.30553490995733285,237,438,1,567,19,4,16,11,19,18,0,2,0,19,9,1,Normal,0
7,0.029919384304340338,icmp,dns,FIN,52,94,8468,3639,274.6868733821516,31,0,849259.6872684504,284927.23075647076,0,2,85.84685836933077,16.43925753567508,97.80280209155734,483.1540455616303,0,49830566,66558144,0,0.007598803730204495,0.0826826974326958,0.4042771048712862,1118,41,3,3817,11,4,16,12,16,18,1,1,0,2,15,0,DoS,1
8,1.0056154322399697,arp,-,REQ,33,36,4925,7476,952.7644210519519,31,0,415734.1333886524,772139.8801184159,8,3,57.70248567296401,26.662252051268997,185.88396247784596,233.6229011186227,255,19952216,55669328,0,0.6512420837742197,0.37567192357103507,0.35526460635939283,336,371,2,1952,2,5,11,11,7,18,1,3,1,10,5,1,Fuzzers,1
9,0.45954107681363227,icmp,dns,INT,85,65,6364,560,765.085891471728,254,0,443815.4178820503,8898.40668199049,5,3,21.61136904524715,51.31395433859427,53.95415836658618,497.76700501093313,0,73748698,12364272,255,0.13360342596225916,0.34022654970347094,0.15577254413851982,489,1100,0,1391,7,0,4,16,9,13,1,0,0,15,12,1,Fuzzers,1
10,0.6156250308522951,arp,http,REQ,84,6,7920,6652,985.6875052662596,62,252,592174.9893424126,924028.2291078946,0,6,85.903338647958,1.3484500884021977,263.8682249700094,478.53899543056417,255,5751040,62086323,0,0.547097508130055,0.36206129230404377,0.11947992797386764,874,729,4,475,17,3,15,8,3,15,0,2,3,17,12,1,Exploits,1
